Category,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales,Shipping Cost,Order Date - Copy,Modulo,Target Sales,Poor,Satisfactory,Good,Sales w/o decimal
Office Supplies,Bogotá,Colombia,Melissa Miller,LATAM,LZ-52019,"Monday, May 13, 2024",2024,CO-2024-111280,High,OFF-BI-947880,Tonight name hotel stay.,South,31259,Consumer,"Thursday, May 23, 2024",First Class,Bogotá,Binders,0.38,-128.6971,7,359.0198,35.9,2024-05-13,0,230.32269999999997,230.32269999999997,230.32269999999997,230.32269999999997,359
Furniture,Chicago,United States,Samantha Brown,USCA,XG-43708,"Sunday, May 11, 2025",2025,UN-2025-749462,Low,FUR-BO-922980,Lose style accept.,Central,26948,Consumer,"Wednesday, May 14, 2025",Second Class,Illinois,Bookcases,0.34,-14.9099,9,43.6995,4.37,2025-05-11,0,28.7896,28.7896,28.7896,28.7896,43
Office Supplies,Melbourne,Australia,Kimberly Wade,APAC,CG-42476,"Thursday, August 18, 2022",2022,AU-2022-286231,Critical,OFF-AR-463205,Son indeed unit star kid.,Oceania,48494,Consumer,"Saturday, August 20, 2022",Same Day,Victoria,Art,0.23,-109.8264,9,663.4064,66.34,2022-08-18,0,553.5799999999999,553.5799999999999,553.5799999999999,553.5799999999999,663
Furniture,London,United Kingdom,Daniel Porter,EU,BL-13913,"Tuesday, February 01, 2022",2022,UN-2022-913157,High,FUR-TA-844932,Threat later upon.,North,42582,Corporate,"Friday, February 11, 2022",Same Day,England,Tables,0.01,32.6338,3,88.4692,8.85,2022-02-01,0,121.10300000000001,121.10300000000001,121.10300000000001,121.10300000000001,88
Office Supplies,São Paulo,Brazil,James Johnson,LATAM,WO-51660,"Monday, February 27, 2023",2023,BR-2023-809723,Medium,OFF-AP-208210,Job fast new compare one.,South,48528,Consumer,"Saturday, March 04, 2023",Same Day,São Paulo,Appliances,0.33,154.3259,1,348.6862,34.87,2023-02-27,0,503.0121,503.0121,503.0121,503.0121,348
Furniture,San Pedro Sula,Honduras,Sean Knox,LATAM,BN-81199,"Wednesday, November 15, 2023",2023,HO-2023-905290,High,FUR-FU-272083,His management rich least.,Central,45867,Consumer,"Tuesday, November 21, 2023",Same Day,Cortés,Furnishings,0.15,123.7516,8,388.073,38.81,2023-11-15,0,511.8246,511.8246,511.8246,511.8246,388
Furniture,Medellín,Colombia,Richard Woodard,LATAM,LP-70023,"Thursday, May 01, 2025",2025,CO-2025-658617,Medium,FUR-FU-267991,There example.,South,32450,Corporate,"Sunday, May 11, 2025",First Class,Antioquia,Furnishings,0.15,155.5963,2,344.018,34.4,2025-05-01,0,499.61429999999996,499.61429999999996,499.61429999999996,499.61429999999996,344
Office Supplies,São Paulo,Brazil,Tara Stafford,LATAM,MJ-72875,"Wednesday, October 26, 2022",2022,BR-2022-132239,Critical,OFF-ST-134328,First represent.,South,38500,Corporate,"Wednesday, November 02, 2022",Second Class,São Paulo,Storage,0.04,63.0191,7,566.5494,56.65,2022-10-26,0,629.5685,629.5685,629.5685,629.5685,566
Technology,Spokane,United States,April Little,USCA,EW-55453,"Wednesday, October 25, 2023",2023,UN-2023-632795,Critical,TEC-CO-980823,Agency them data pretty.,West,22092,Corporate,"Thursday, November 02, 2023",First Class,Washington,Copiers,0.39,56.0126,7,1303.2832,130.33,2023-10-25,0,1359.2958,1359.2958,1359.2958,1359.2958,1303
Office Supplies,Sydney,Australia,Brian Estrada,APAC,DE-75074,"Thursday, May 08, 2025",2025,AU-2025-247267,High,OFF-PA-307251,Need manager sense job reflect.,Oceania,26643,Corporate,"Monday, May 12, 2025",First Class,New South Wales,Paper,0.3,-305.7876,9,1492.5683,149.26,2025-05-08,0,1186.7806999999998,1186.7806999999998,1186.7806999999998,1186.7806999999998,1492
Technology,Quebec City,Canada,Rebecca Hopkins,USCA,BO-72651,"Saturday, April 09, 2022",2022,CA-2022-551815,Critical,TEC-PH-624523,Government move.,Canada,13587,Corporate,"Friday, April 15, 2022",Second Class,Quebec,Phones,0.13,-84.248,3,517.7119,51.77,2022-04-09,0,433.4639,433.4639,433.4639,433.4639,517
Furniture,Tokyo,Japan,Stanley Montgomery,APAC,JV-96051,"Tuesday, January 16, 2024",2024,JA-2024-778540,Medium,FUR-TA-942326,Hundred staff admit.,North Asia,24332,Home Office,"Friday, January 26, 2024",Second Class,Tokyo,Tables,0.32,60.3494,8,155.4357,15.54,2024-01-16,0,215.7851,215.7851,215.7851,215.7851,155
Technology,San Pedro Sula,Honduras,Jessica Jones,LATAM,CE-22926,"Sunday, March 12, 2023",2023,HO-2023-446584,Medium,TEC-MA-191745,Late specific instead stand.,Central,44202,Corporate,"Sunday, March 19, 2023",First Class,Cortés,Machines,0.09,-278.2135,7,1069.3371,106.93,2023-03-12,0,791.1235999999999,791.1235999999999,791.1235999999999,791.1235999999999,1069
Technology,Manchester,United Kingdom,Andrew King,EU,SV-76178,"Saturday, January 14, 2023",2023,UN-2023-450768,Critical,TEC-PH-983556,Next market item through.,North,20753,Home Office,"Saturday, January 21, 2023",Same Day,England,Phones,0.23,-119.2459,1,783.726,78.37,2023-01-14,0,664.4801,664.4801,664.4801,664.4801,783
Furniture,Marseille,France,Kayla Yu,EU,CS-72016,"Monday, December 16, 2024",2024,FR-2024-347243,High,FUR-CH-275793,Second help scientist since.,West,49570,Corporate,"Thursday, December 19, 2024",Standard Class,Provence-Alpes-Côte d'Azur,Chairs,0.1,210.3823,8,956.4829,95.65,2024-12-16,0,1166.8652,1166.8652,1166.8652,1166.8652,956
Office Supplies,Beijing,China,Erik Miller,APAC,ZQ-92933,"Saturday, May 04, 2024",2024,CH-2024-682684,Low,OFF-ST-937218,Big life method.,North Asia,20823,Corporate,"Thursday, May 09, 2024",First Class,Beijing,Storage,0.29,380.2901,7,788.1042,78.81,2024-05-04,0,1168.3943,1168.3943,1168.3943,1168.3943,788
Office Supplies,Mexico City,Mexico,Alicia Clark,LATAM,IL-90215,"Thursday, April 24, 2025",2025,ME-2025-292030,Critical,OFF-AR-741171,Center city central.,Central,37428,Corporate,"Thursday, May 01, 2025",First Class,Mexico City,Art,0.07,95.0362,3,445.0241,44.5,2025-04-24,0,540.0603,540.0603,540.0603,540.0603,445
Office Supplies,Rio de Janeiro,Brazil,Patrick Lewis,LATAM,PD-89086,"Monday, May 27, 2024",2024,BR-2024-632087,Medium,OFF-ST-414952,Down hotel focus.,South,30945,Consumer,"Monday, June 03, 2024",First Class,Rio de Janeiro,Storage,0.27,-353.0632,2,980.8385,98.08,2024-05-27,0,627.7753,627.7753,627.7753,627.7753,980
Office Supplies,Tokyo,Japan,Alexis Pena,APAC,VI-47391,"Thursday, November 21, 2024",2024,JA-2024-821374,Medium,OFF-PA-714493,Understand thought ball.,North Asia,44692,Consumer,"Saturday, November 30, 2024",First Class,Tokyo,Paper,0.33,-242.9745,8,992.862,99.29,2024-11-21,0,749.8874999999999,749.8874999999999,749.8874999999999,749.8874999999999,992
Technology,London,United Kingdom,Thomas Bryant,EU,TQ-74146,"Friday, September 20, 2024",2024,UN-2024-452825,High,TEC-PH-218821,Environment amount to.,North,24142,Consumer,"Saturday, September 21, 2024",First Class,England,Phones,0.22,201.9451,8,437.0569,43.71,2024-09-20,0,639.002,639.002,639.002,639.002,437
Furniture,Los Angeles,United States,Sarah Johnson,USCA,BI-88337,"Wednesday, June 22, 2022",2022,UN-2022-557811,Medium,FUR-BO-442097,Home particular late recent.,West,34420,Consumer,"Friday, July 01, 2022",First Class,California,Bookcases,0.31,128.1479,3,383.635,38.36,2022-06-22,0,511.7829,511.7829,511.7829,511.7829,383
Furniture,Berlin,Germany,Dr. Sharon Taylor,EU,EU-54427,"Wednesday, May 25, 2022",2022,GE-2022-444134,High,FUR-TA-246614,Cold high apply life especially.,West,11313,Home Office,"Thursday, May 26, 2022",Standard Class,Berlin,Tables,0.08,-15.617,2,783.3238,78.33,2022-05-25,0,767.7068,767.7068,767.7068,767.7068,783
Office Supplies,Berlin,Germany,Nicholas Mckinney,EU,FT-34846,"Saturday, February 18, 2023",2023,GE-2023-709010,Low,OFF-PA-916816,Create same may member.,West,21559,Corporate,"Monday, February 20, 2023",Same Day,Berlin,Paper,0.2,192.8412,1,494.4796,49.45,2023-02-18,0,687.3208,687.3208,687.3208,687.3208,494
Office Supplies,Manchester,United Kingdom,Daniel Romero,EU,XD-73909,"Sunday, August 04, 2024",2024,UN-2024-250757,Low,OFF-PA-774942,Fly teach spend.,North,37916,Consumer,"Monday, August 05, 2024",Second Class,England,Paper,0.06,-35.7217,4,664.9551,66.5,2024-08-04,0,629.2334000000001,629.2334000000001,629.2334000000001,629.2334000000001,664
Office Supplies,Berlin,Germany,Carol Smith,EU,VF-48734,"Sunday, October 15, 2023",2023,GE-2023-727060,High,OFF-BI-948919,Rich wish for.,West,28672,Corporate,"Monday, October 23, 2023",Standard Class,Berlin,Binders,0.32,-148.9697,2,743.0112,74.3,2023-10-15,0,594.0415,594.0415,594.0415,594.0415,743
Furniture,Tegucigalpa,Honduras,Barry Peterson,LATAM,GF-50499,"Friday, June 28, 2024",2024,HO-2024-179535,High,FUR-BO-657175,Green almost place coach.,Central,46071,Consumer,"Thursday, July 04, 2024",First Class,Francisco Morazán,Bookcases,0.11,505.3108,8,1493.3559,149.34,2024-06-28,0,1998.6667,1998.6667,1998.6667,1998.6667,1493
Furniture,Shanghai,China,Patrick Hamilton,APAC,GA-11864,"Friday, February 17, 2023",2023,CH-2023-347906,Medium,FUR-TA-950928,Knowledge former sure ever himself.,North Asia,13819,Home Office,"Thursday, February 23, 2023",Same Day,Shanghai,Tables,0.3,151.5504,2,592.197,59.22,2023-02-17,0,743.7474,743.7474,743.7474,743.7474,592
Technology,Dallas,United States,Renee Patel,USCA,TQ-21021,"Thursday, June 01, 2023",2023,UN-2023-176055,High,TEC-PH-663780,Rock way.,Central,43280,Home Office,"Friday, June 02, 2023",Same Day,Texas,Phones,0.35,211.752,5,657.1691,65.72,2023-06-01,0,868.9211,868.9211,868.9211,868.9211,657
Furniture,New York City,United States,Elizabeth Schultz,USCA,NJ-42922,"Sunday, August 17, 2025",2025,UN-2025-405983,Critical,FUR-FU-654301,Chance under language.,East,26181,Home Office,"Monday, August 18, 2025",Standard Class,New York,Furnishings,0.27,-14.7334,2,33.4103,3.34,2025-08-17,0,18.6769,18.6769,18.6769,18.6769,33
Technology,Chicago,United States,Cynthia Wagner,USCA,YQ-98427,"Thursday, February 23, 2023",2023,UN-2023-819205,Medium,TEC-AC-716153,Why never light black.,Central,11321,Home Office,"Thursday, March 02, 2023",Same Day,Illinois,Accessories,0.24,-344.9707,3,862.4967,86.25,2023-02-23,0,517.5260000000001,517.5260000000001,517.5260000000001,517.5260000000001,862
Furniture,Miami,United States,Kimberly Rodriguez,USCA,LG-95364,"Saturday, September 28, 2024",2024,UN-2024-261689,Low,FUR-TA-682252,Five drop day accept keep.,South,13461,Consumer,"Monday, October 07, 2024",Second Class,Florida,Tables,0.23,189.5229,10,622.3926,62.24,2024-09-28,0,811.9155000000001,811.9155000000001,811.9155000000001,811.9155000000001,622
Technology,Montreal,Canada,Matthew Jones,USCA,OU-55868,"Tuesday, October 15, 2024",2024,CA-2024-561406,High,TEC-MA-219793,Range right but country.,Canada,44048,Home Office,"Wednesday, October 16, 2024",Standard Class,Quebec,Machines,0.36,-113.3168,4,1426.566,142.66,2024-10-15,0,1313.2492,1313.2492,1313.2492,1313.2492,1426
Furniture,Bogotá,Colombia,Jane Williams,LATAM,OC-88549,"Saturday, December 24, 2022",2022,CO-2022-639123,Low,FUR-FU-439343,Act free.,South,13132,Corporate,"Monday, December 26, 2022",First Class,Bogotá,Furnishings,0.3,27.2872,1,273.9087,27.39,2022-12-24,0,301.1959,301.1959,301.1959,301.1959,273
Furniture,São Paulo,Brazil,John Owens,LATAM,DI-77563,"Sunday, February 06, 2022",2022,BR-2022-156097,High,FUR-FU-515698,Play position.,South,31129,Consumer,"Monday, February 14, 2022",Same Day,São Paulo,Furnishings,0.2,340.9238,2,1203.801,120.38,2022-02-06,0,1544.7248,1544.7248,1544.7248,1544.7248,1203
Furniture,Sydney,Australia,Amber Dominguez,APAC,HP-94403,"Thursday, May 22, 2025",2025,AU-2025-940907,Critical,FUR-CH-874517,Contain road.,Oceania,40619,Home Office,"Sunday, June 01, 2025",Standard Class,New South Wales,Chairs,0.1,117.5516,9,443.2272,44.32,2025-05-22,0,560.7787999999999,560.7787999999999,560.7787999999999,560.7787999999999,443
Furniture,Tokyo,Japan,David Silva,APAC,VW-58342,"Wednesday, April 23, 2025",2025,JA-2025-913382,High,FUR-FU-394932,Friend party.,North Asia,49042,Consumer,"Monday, April 28, 2025",First Class,Tokyo,Furnishings,0.29,-61.6054,1,1289.4695,128.95,2025-04-23,0,1227.8641,1227.8641,1227.8641,1227.8641,1289
Office Supplies,Munich,Germany,Daniel Mooney,EU,BM-28475,"Monday, February 27, 2023",2023,GE-2023-549673,Low,OFF-PA-263248,Trouble same future close fact.,West,14406,Corporate,"Sunday, March 05, 2023",First Class,Bavaria,Paper,0.02,345.2522,2,994.8402,99.48,2023-02-27,0,1340.0924,1340.0924,1340.0924,1340.0924,994
Office Supplies,Toronto,Canada,Katrina Yang,USCA,LB-13416,"Sunday, July 24, 2022",2022,CA-2022-689153,Critical,OFF-BI-634262,American player some.,Canada,34636,Corporate,"Thursday, July 28, 2022",First Class,Ontario,Binders,0.3,-109.6566,1,241.1099,24.11,2022-07-24,0,131.4533,131.4533,131.4533,131.4533,241
Furniture,Manchester,United Kingdom,Pamela Henson,EU,HR-59662,"Sunday, August 25, 2024",2024,UN-2024-891641,Critical,FUR-FU-859298,Agreement hit.,North,15991,Consumer,"Wednesday, August 28, 2024",Second Class,England,Furnishings,0.24,-247.0518,4,636.0471,63.6,2024-08-25,0,388.99530000000004,388.99530000000004,388.99530000000004,388.99530000000004,636
Office Supplies,Guadalajara,Mexico,Michele Conley,LATAM,QS-50011,"Tuesday, October 05, 2021",2021,ME-2021-555623,Medium,OFF-AR-914105,Item a floor expect process.,Central,13721,Consumer,"Sunday, October 10, 2021",Second Class,Jalisco,Art,0.04,128.3474,10,932.034,93.2,2021-10-05,0,1060.3814,1060.3814,1060.3814,1060.3814,932
Office Supplies,Melbourne,Australia,Jason Barry,APAC,MQ-84095,"Monday, February 24, 2025",2025,AU-2025-695893,Critical,OFF-AR-868583,Keep sort live.,Oceania,28044,Home Office,"Tuesday, February 25, 2025",Same Day,Victoria,Art,0.23,75.2998,6,324.0943,32.41,2025-02-24,0,399.3941,399.3941,399.3941,399.3941,324
Furniture,San Pedro Sula,Honduras,Crystal Graves,LATAM,LX-73501,"Tuesday, November 26, 2024",2024,HO-2024-733393,Critical,FUR-CH-997247,Bit company deal enjoy.,Central,33668,Home Office,"Wednesday, December 04, 2024",First Class,Cortés,Chairs,0.11,430.2192,7,1342.3486,134.23,2024-11-26,0,1772.5678,1772.5678,1772.5678,1772.5678,1342
Furniture,Beijing,China,Robert Mccoy,APAC,RK-20273,"Saturday, January 13, 2024",2024,CH-2024-487218,Critical,FUR-TA-298653,Natural leader late American.,North Asia,35017,Corporate,"Saturday, January 20, 2024",Same Day,Beijing,Tables,0.12,359.3437,8,789.0145,78.9,2024-01-13,0,1148.3582000000001,1148.3582000000001,1148.3582000000001,1148.3582000000001,789
Technology,San Pedro Sula,Honduras,Christopher Holt,LATAM,SL-67759,"Sunday, January 01, 2023",2023,HO-2023-261922,Low,TEC-PH-365413,Science direction treat bring.,Central,33108,Consumer,"Monday, January 09, 2023",Same Day,Cortés,Phones,0.03,-18.4355,6,103.7868,10.38,2023-01-01,0,85.3513,85.3513,85.3513,85.3513,103
Technology,Miami,United States,Sheila Garza,USCA,LG-54206,"Thursday, January 18, 2024",2024,UN-2024-424727,Critical,TEC-AC-544662,Face key past.,South,28244,Consumer,"Thursday, January 25, 2024",Standard Class,Florida,Accessories,0.07,-680.8866,9,1402.6342,140.26,2024-01-18,0,721.7475999999999,721.7475999999999,721.7475999999999,721.7475999999999,1402
Office Supplies,Munich,Germany,Crystal Davis,EU,SZ-33410,"Saturday, August 03, 2024",2024,GE-2024-897271,Critical,OFF-ST-681619,Stand glass country may.,West,13783,Corporate,"Tuesday, August 06, 2024",Same Day,Bavaria,Storage,0.36,-91.2586,9,794.0264,79.4,2024-08-03,0,702.7678,702.7678,702.7678,702.7678,794
Technology,Berlin,Germany,Jimmy Santiago,EU,YQ-88568,"Monday, October 02, 2023",2023,GE-2023-212389,High,TEC-AC-344663,Growth near meet.,West,47733,Corporate,"Thursday, October 05, 2023",Standard Class,Berlin,Accessories,0.29,-51.9694,2,487.5271,48.75,2023-10-02,0,435.5577,435.5577,435.5577,435.5577,487
Technology,Dallas,United States,Tonya Carlson,USCA,BI-91027,"Saturday, September 10, 2022",2022,UN-2022-172900,Medium,TEC-PH-882529,Provide out thing learn.,Central,26954,Consumer,"Thursday, September 15, 2022",First Class,Texas,Phones,0.1,-195.2877,5,467.4306,46.74,2022-09-10,0,272.14290000000005,272.14290000000005,272.14290000000005,272.14290000000005,467
Office Supplies,Melbourne,Australia,Jerry Saunders,APAC,WW-99329,"Monday, November 25, 2024",2024,AU-2024-669240,Low,OFF-AR-742886,Stage expert institution.,Oceania,27264,Corporate,"Sunday, December 01, 2024",Same Day,Victoria,Art,0.13,-239.2537,2,1103.409,110.34,2024-11-25,0,864.1553000000001,864.1553000000001,864.1553000000001,864.1553000000001,1103
Furniture,Munich,Germany,Heather Giles MD,EU,SZ-32759,"Tuesday, November 08, 2022",2022,GE-2022-101850,High,FUR-TA-746531,Guy personal nearly.,West,27308,Consumer,"Wednesday, November 09, 2022",Second Class,Bavaria,Tables,0.22,153.3952,5,672.796,67.28,2022-11-08,0,826.1912,826.1912,826.1912,826.1912,672
Furniture,Tokyo,Japan,Alyssa Tran,APAC,KU-14632,"Monday, May 12, 2025",2025,JA-2025-271264,Critical,FUR-CH-117009,Grow by call plant improve.,North Asia,24249,Consumer,"Thursday, May 22, 2025",Second Class,Tokyo,Chairs,0.25,-165.5727,8,667.2074,66.72,2025-05-12,0,501.6347,501.6347,501.6347,501.6347,667
Office Supplies,Aurora,United States,James Mccullough,USCA,JI-39009,"Friday, May 30, 2025",2025,UN-2025-686418,Low,OFF-AR-980508,Red our large.,Central,18606,Corporate,"Wednesday, June 04, 2025",Same Day,Illinois,Art,0.21,371.6363,9,1409.0649,140.91,2025-05-30,0,1780.7012,1780.7012,1780.7012,1780.7012,1409
Technology,Melbourne,Australia,Justin Kane,APAC,LW-20439,"Wednesday, February 01, 2023",2023,AU-2023-473914,Critical,TEC-MA-631889,Soldier top.,Oceania,41831,Corporate,"Tuesday, February 07, 2023",Second Class,Victoria,Machines,0.0,154.7576,10,899.7678,89.98,2023-02-01,0,1054.5254,1054.5254,1054.5254,1054.5254,899
Furniture,Augusta,United States,Kenneth Young,USCA,EJ-65489,"Saturday, April 15, 2023",2023,UN-2023-147621,Critical,FUR-BO-819715,Happen project price down.,South,15428,Home Office,"Friday, April 21, 2023",First Class,Georgia,Bookcases,0.26,256.7827,6,1279.6902,127.97,2023-04-15,0,1536.4729,1536.4729,1536.4729,1536.4729,1279
Office Supplies,London,United Kingdom,Jessica Scott,EU,LT-10944,"Friday, May 16, 2025",2025,UN-2025-484339,Medium,OFF-AR-989152,Animal part might team.,North,20227,Home Office,"Sunday, May 18, 2025",Same Day,England,Art,0.26,-110.6516,4,617.7478,61.77,2025-05-16,0,507.09619999999995,507.09619999999995,507.09619999999995,507.09619999999995,617
Technology,Tegucigalpa,Honduras,Jennifer Jones,LATAM,NC-15428,"Tuesday, April 15, 2025",2025,HO-2025-422957,Low,TEC-AC-123167,Society training relationship.,Central,27069,Corporate,"Sunday, April 20, 2025",Standard Class,Francisco Morazán,Accessories,0.23,-7.8286,7,157.1035,15.71,2025-04-15,0,149.2749,149.2749,149.2749,149.2749,157
Technology,Ottawa,Canada,Brandi Tran,USCA,KU-62092,"Sunday, August 03, 2025",2025,CA-2025-801533,High,TEC-CO-516861,Far former than shake.,Canada,21748,Corporate,"Friday, August 08, 2025",First Class,Ontario,Copiers,0.22,197.1498,1,1003.7602,100.38,2025-08-03,0,1200.91,1200.91,1200.91,1200.91,1003
Office Supplies,Yokohama,Japan,Matthew Davis,APAC,SM-84808,"Friday, February 14, 2025",2025,JA-2025-263404,Low,OFF-BI-984474,Magazine business peace.,North Asia,43529,Home Office,"Saturday, February 22, 2025",First Class,Kanagawa,Binders,0.08,-247.0599,7,509.9574,51.0,2025-02-14,0,262.89750000000004,262.89750000000004,262.89750000000004,262.89750000000004,509
Office Supplies,Berlin,Germany,Brittany Armstrong,EU,OR-25484,"Wednesday, November 06, 2024",2024,GE-2024-847852,Low,OFF-PA-844113,Where conference hospital.,West,45232,Corporate,"Saturday, November 16, 2024",Same Day,Berlin,Paper,0.39,-53.1303,6,207.2943,20.73,2024-11-06,0,154.164,154.164,154.164,154.164,207
Furniture,Manchester,United Kingdom,Trevor Hanson,EU,LJ-44122,"Tuesday, August 23, 2022",2022,UN-2022-980155,Low,FUR-FU-361534,Especially rise wish.,North,41315,Home Office,"Monday, August 29, 2022",Second Class,England,Furnishings,0.29,-10.3831,8,38.3198,3.83,2022-08-23,0,27.936700000000002,27.936700000000002,27.936700000000002,27.936700000000002,38
Technology,Beijing,China,Brian Ho,APAC,NY-45180,"Friday, October 20, 2023",2023,CH-2023-409535,Low,TEC-MA-829119,Rule home car.,North Asia,16358,Consumer,"Tuesday, October 24, 2023",Second Class,Beijing,Machines,0.01,85.695,10,1018.8467,101.88,2023-10-20,0,1104.5417,1104.5417,1104.5417,1104.5417,1018
